id,username,text,datetime,img_src,likes,entities
BHekVdIjD7O,l_d_f_official,Gallery FUMI presents a solo show by Berlin based designer Lukas Wegwerth during this year’s festival. Focusing on the interaction between the natural and the artificial  Wegwerth indirectly controls natural processes and amplifies and interprets these.@gallery_fumi#LukasWegwerth#Sculpture#Ceramics#Crystals#London#Design#LDF16,2016-07-05T11:10:43.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13561902_1138566509519678_1935865874_n.jpg?ig_cache_key=MTI4NzYyNjM0NzUzOTg3MzQ4Ng%3D%3D.2,53,@gallery_fumi #lukaswegwerth #sculpture #ceramics #crystals #london #design #ldf16
BHecJOUD--k,l_d_f_official,Hand Lettering Workshops introducing the basics of signwriting (17 and 18 September at Borough Market) and blackboard art (24-25 September at Hilton Bankside). Throughout the Festival the new Ghostsigns Tours App is also available to discover the fading remains of painted signs around Bankside.@betterletters#Lettering#Signwriting#Typography#Workshop#BanksideDesignDistrict#London#LDF16,2016-07-05T09:59:09.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c180.0.720.720/13525456_847648292046293_292761235_n.jpg?ig_cache_key=MTI4NzU5MDMyMjYyMTExNjMyNA%3D%3D.2.c,144,@betterletters #lettering #signwriting #typography #workshop #banksidedesigndistrict #london #ldf16
8Ip3KuQ8yW,l_d_f_official,Head to@designersblocktoday until 6pm at Bargehouse#design#ldf15,2015-09-27T13:10:23.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11875403_1689263751302641_1799016893_n.jpg?ig_cache_key=MTA4MzI5OTgyMTM3NDM5MzQ5NA%3D%3D.2,170,@designersblock #design #ldf15
BHcm3BVjlf4,l_d_f_official,Create Culture Indian Design Platform: Transformation  an exhibition inspired by the culture of recycling and reuse that exists to the extreme in India  exploring the ways in which designers have reinterpreted humble  discarded materials as design objects and organic waste as a resource.@create.culture#Exhibition#Art#Design#Recycle#Reuse#India#London#LDF16,2016-07-04T16:54:18.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13584035_147233665680991_1144378535_n.jpg?ig_cache_key=MTI4NzA3NDUwMDI5NTE1MzY1Ng%3D%3D.2,440,@create.culture #exhibition #art #design #recycle #reuse #india #london #ldf16
BHca-DCjXXY,l_d_f_official,Throughout the London Design Festival  Camden Collective are running a series of events exploring the meanwhile use of buildings alongside an exhibition and installation showcasing the project's history since 2009.@cmdncollective#Architecture#Creative#Space#Startups#Design#Installation#LDF16,2016-07-04T15:10:24.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c180.0.720.720/13531959_949855278456581_1184144874_n.jpg?ig_cache_key=MTI4NzAyMjIwNjYwMjAxNjIxNg%3D%3D.2.c,421,@cmdncollective #architecture #creative #space #startups #design #installation #ldf16
BHcQFG_DaA_,l_d_f_official,For London Design Festival  Oxo Tower Wharf will be hosting a number of exciting exhibitions  events and activities across its gallery spaces  courtyard and design studios. Designersblock are back in Oxo Tower Wharf’s exhibition spaces  alongside a range of creative events hosted in the design studios and shops.#OxoTowerWharf#Exhibition#Events#Design#Studios#London@designersblock#LDF16,2016-07-04T13:35:15.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c1.0.800.800/13557345_848653488612861_1228042613_n.jpg?ig_cache_key=MTI4Njk3NDMxMzM2Mjk4OTExOQ%3D%3D.2.c,288,#oxotowerwharf #exhibition #events #design #studios #london @designersblock #ldf16
BHb-mOojSLk,l_d_f_official,Stationery purveyors Present &amp; Correct introduce 'Error' - a celebration of the humble eraser during this year’s Festival. Their graphic parade of shape  colour &amp; type features 200 specimens and packaging paraphernalia.@presentandcorrect@islingtondd#Stationary#Eraser#Graphic#Typography#Exhibition#London#Design#LDF16,2016-07-04T11:02:29.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c188.0.704.704/13561954_545085632342446_776643227_n.jpg?ig_cache_key=MTI4Njg5NzQyNDQ4MDkzNjY3Ng%3D%3D.2.c,461,@presentandcorrect @islingtondd #stationary #eraser #graphic #typography #exhibition #london #design #ldf16
BHUd__Hjsul,l_d_f_official,Popular annual selling fair  Ceramics in the City  returns to the Geffrye Museum  showcasing work by around 50 potters from across the UK  a mix of leading names and rising talents. A wide range of work will be on sale from domestic objects and lighting to purely decorative  one-off pieces.@geffryemuseum#Ceramics#Pottery#Craft#Design#London#LDF16,2016-07-01T13:02:57.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c212.0.656.656/13551757_1582433328715847_1496631559_n.jpg?ig_cache_key=MTI4NDc4MzczNDE1NTgyNDAzNw%3D%3D.2.c,601,@geffryemuseum #ceramics #pottery #craft #design #london #ldf16
BHUQrh8DKFx,l_d_f_official,Edward Barber and Jay Osgerby curate an exhibition of twenty objects to launch their new design  Marker during this year’s Festival. 'Marker  plus twenty' celebrates the anniversary of twentytwentyone and the two companies’ long-standing collaboration.@twentytwentyone@barberosgerby#Marker#Lighting#Furniture#Interiors#Design#London#LDF16,2016-07-01T11:06:34.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13534120_149595438794557_1250197596_n.jpg?ig_cache_key=MTI4NDcyNTE1MzgzMDA1MjIwOQ%3D%3D.2,276,@twentytwentyone @barberosgerby #marker #lighting #furniture #interiors #design #london #ldf16
BHSVZsVD5r0,l_d_f_official,Contemporary furniture specialists Go Modern  in partnership with Belgian brand Manutti  present the very latest in outdoor furniture design during this year’s Festival.@gomodernuk@manuttioutdoor#Furniture#Outdoors#London#Design#Festival#LDF16,2016-06-30T17:09:21.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c180.0.720.720/13473120_214040002323486_1603043279_n.jpg?ig_cache_key=MTI4NDE4Mjk2ODMxNTY0ODc1Ng%3D%3D.2.c,265,@gomodernuk @manuttioutdoor #furniture #outdoors #london #design #festival #ldf16
BHSHIiljFyN,l_d_f_official,T2 has teamed up with design virtuosos Raw Edges  to explore the colours  patterns  textures and smells of the raw material that sits at the very heart of what T2 do – the tea itself.@t2tea@rawedgesdesignstudio#Colour#Pattern#Materials#Tea#Design#LDF16,2016-06-30T15:04:40.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c98.0.800.800/13534155_742195899216680_1301640497_n.jpg?ig_cache_key=MTI4NDEyMDIxNjk3MjU4MjAyOQ%3D%3D.2.c,348,@t2tea @rawedgesdesignstudio #colour #pattern #materials #tea #design #ldf16
BHR5QcqDRkX,l_d_f_official,Staffan Tollgård celebrates the launch of Finn Juhl by Onecollection in their Pimlico Design Store. Visit the store during the London Design Festival and see icons of design like the Chieftains chair  the Nyhavn desk and the France chair.@staffantollgard@onecollection_finnjuhl#Furniture#Interiors#Design#London#LDF16,2016-06-30T13:03:25.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c189.0.702.702/13561605_1299059406775481_667046289_n.jpg?ig_cache_key=MTI4NDA1OTE4NzcxMDMzNTI1NQ%3D%3D.2.c,351,@staffantollgard @onecollection_finnjuhl #furniture #interiors #design #london #ldf16
BHRzrRXjh02,l_d_f_official,Draw a teapot from memory and the chances are you’ll see a shape similar to the Brown Betty. This exhibition shows how a noble archetype evolved over 300 years  eschewing fashion to become an icon.@vitsoe#Furniture#Homeware#Icon#Teapot#Exhibition#LDF16,2016-06-30T12:14:39.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c97.0.799.799/13561535_1652774835046939_131404746_n.jpg?ig_cache_key=MTI4NDAzNDY0MjczNTY2ODUzNA%3D%3D.2.c,206,@vitsoe #furniture #homeware #icon #teapot #exhibition #ldf16
BG377nRQ8yt,l_d_f_official,The Brixton Street Gallery will return to The Department Store on Ferndale Road for this year’s Festival. After the success of the 2015 installation  architects Squire and Partners are curating a second exhibition of works by talented Brixton based artists and organisations.@squireandpartners@brixtondesigntrail#BrixtonStreetGallery#BrixtonDT#BDT2016#LDF16,2016-06-20T11:06:32.000Z,https://scontent.cdninstagram.com/t51.2885-15/e35/c160.0.449.449/13388702_1723032004633686_1761497553_n.jpg?ig_cache_key=MTI3Njc1MjYwMDc0MTY5NDYzNw%3D%3D.2.c,387,@squireandpartners @brixtondesigntrail #brixtonstreetgallery #brixtondt #bdt2016 #ldf16
BG1n_d2Q89i,l_d_f_official,Martyn Thompson Studio presents Rock Pool  a new collection of textiles during the London Design Festival within Brompton Design District. The textiles have been woven in 100% cotton on a jacquard loom to form abstract fabrics that evoke the ever moving ocean.@martynthompsonstudio#Textiles#Fabric#Pattern#Design#London#LDF16,2016-06-19T13:33:49.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.1.1080.1080/13402202_154192264997827_1882639270_n.jpg?ig_cache_key=MTI3NjEwMTk1NDYxOTI5NzYzNA%3D%3D.2.c,537,@martynthompsonstudio #textiles #fabric #pattern #design #london #ldf16
BG1WqcYw8wY,l_d_f_official,Bespoke lighting designers Curiousa &amp; Curiousa collaborate with elegantly anarchic furnishings company Blackpop  to launch their Autumn / Winter Range at their new showroom during London Design Festival.@curiousastudio@blackpopuk#Lighting#Wallpaper#Furniture#Textiles#LDF16,2016-06-19T11:02:24.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13413436_921964871245519_386977694_n.jpg?ig_cache_key=MTI3NjAyNTc0MzE1MDkyNjg3Mg%3D%3D.2,637,@curiousastudio @blackpopuk #lighting #wallpaper #furniture #textiles #ldf16
BGzUFssw80r,l_d_f_official,Method will create Uncertain Beauty  a digital installation that maps out the colour trends within the London Design Festival in real time. To do this they will build a responsive installation that turns live data into a beautiful moving image.@method_inc#method_ldn#Colour#Trends#Digital#Installation#Data#London#Design#Festival#LDF16,2016-06-18T16:01:25.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.0.1079.1079/13392819_879208228890924_1029159944_n.jpg?ig_cache_key=MTI3NTQ1MTQ3MTk5OTI1Nzg5OQ%3D%3D.2.c,337,@method_inc #method_ldn #colour #trends #digital #installation #data #london #design #festival #ldf16
BGzEsB-Q83g,l_d_f_official,The gold medal winning UK Pavilion at the Milan Expo 2015 opens at Kew Gardens today. Designed by Wolfgang Buttress it is an immersive  multi-sensory experience inspired by research into the health of bees.@kewgardens@wolfgangbuttress@stageoneltd#Design#Architecture#Pavilion#KewHive,2016-06-18T13:46:50.000Z,https://scontent.cdninstagram.com/t51.2885-15/e35/13320101_1613361325645748_1041354410_n.jpg?ig_cache_key=MTI3NTM4MzczNzQzNzM3NTk2OA%3D%3D.2,596,@kewgardens @wolfgangbuttress @stageoneltd #design #architecture #pavilion #kewhive
BGwopeLQ82W,l_d_f_official,#Repost: To celebrate the opening of the new#TateModern  Michael Craig-Martin has reimagined the classic London Underground roundel.@tate#MichaelCraigMartin#Southwark#London#Design,2016-06-17T15:03:21.000Z,https://scontent.cdninstagram.com/t51.2885-15/e35/13398893_1112048758836318_1866446453_n.jpg?ig_cache_key=MTI3NDY5NzQ2NjMwNjA4ODM0Mg%3D%3D.2,568,#repost #tatemodern @tate #michaelcraigmartin #southwark #london #design
BGwM5uiQ8wF,l_d_f_official,Today Tate Modern opens a new ten storey building housing the world’s first gallery spaces dedicated to live art  film and installations. Designed by&nbsp;architects Herzog &amp;&nbsp;de Meuron it will present an international view of modern and contemporary art.@tate@herzogdemeuron#Art#Architecture#Installation#Film#London,2016-06-17T11:00:54.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13395135_187734131628686_1320797268_n.jpg?ig_cache_key=MTI3NDU3NTQzODA4MTE0OTk1Nw%3D%3D.2,1039,@tate @herzogdemeuron #art #architecture #installation #film #london
BGt3A30Q879,l_d_f_official,Rouge presents an exhibition  a talk and a workshop during this year's Festival  to explore the meaning and the evolution of artistic and symbolic decorative motifs on rustic furniture from Northern China and handmade ceramics from Jingdezhen over the past 150 years.@rougeshopuk#Furniture#Art#Ceramics#China#LDF16,2016-06-16T13:11:09.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c189.0.702.702/13423426_591779461002874_1083959662_n.jpg?ig_cache_key=MTI3MzkxNjIyMjEwNjQ4ODU3Mw%3D%3D.2.c,406,@rougeshopuk #furniture #art #ceramics #china #ldf16
BGtpVFww89s,l_d_f_official,To celebrate the launch of their new Alf range of chairs  tables and stools  MARK Products will be having an Ice Cream Social every weekday afternoon during this year’s Festival  17 - 25 September.@mark_product@moomaidofzennor#Furniture#Chair#Design#London#Festival#LDF16,2016-06-16T11:11:35.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c151.0.778.778/13473102_958109710974210_5326035_n.jpg?ig_cache_key=MTI3Mzg1NjAzODgxODUzMzIyOA%3D%3D.2.c,302,@mark_product @moomaidofzennor #furniture #chair #design #london #festival #ldf16
